Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,BRK-B,JPM,V,LLY,UNH,XOM,JNJ,PG,HD,MA,COST,ABBV,MRK,BAC,CVX,CRM,NFLX,AMD,PEP,KO,TMO,WMT,MCD,CSCO,KNSL,SAIA,MEDP,SSD,EXPO,FORM,CRVL,TKR,POWI,CALM,PLUS,FSS,ATKR,BRC,CNO,ENSG,FIX,GBCI,GPI,HLNE,HWKN,IBP,MC,OII,PRDO,SHOO,SLVM,^GSPC,^VIX
2022-08-12,168.80198669433594,281.90191650390625,18.636350631713867,143.5500030517578,120.53304290771484,178.9287109375,301.54998779296875,110.84794616699219,204.91586303710938,298.5693664550781,504.6881103515625,82.45528411865234,146.56393432617188,132.07394409179688,282.00909423828125,345.83941650390625,512.4095458984375,123.5538330078125,80.67841339111328,32.616737365722656,134.81605529785156,186.66065979003906,24.93000030517578,100.83000183105469,153.86903381347656,56.61886978149414,596.0319213867188,42.06285858154297,237.25961303710938,41.696170806884766,275.6067810058594,246.49000549316406,182.3000030517578,101.43675994873047,96.57290649414062,34.959999084472656,54.356666564941406,63.89805603027344,77.77848052978516,43.06254959106445,49.2649040222168,41.5343017578125,88.19086456298828,46.905120849609375,18.246715545654297,87.1446533203125,106.72817993164062,47.687381744384766,180.11756896972656,72.05697631835938,42.4872932434082,98.1261215209961,39.77127456665039,9.640000343322754,11.584015846252441,30.635711669921875,37.96986770629883,4280.14990234375,19.530000686645508
2022-08-15,169.87109375,283.4084167480469,18.95809555053711,143.17999267578125,120.92927551269531,179.31532287597656,302.82000732421875,111.14746856689453,209.85137939453125,304.24853515625,505.56072998046875,80.98160552978516,147.2643585205078,133.77586364746094,281.7583312988281,351.38427734375,520.5552368164062,123.28524017333984,80.30615997314453,32.57181167602539,132.25213623046875,187.81080627441406,24.910999298095703,101.01000213623047,155.56103515625,57.32992935180664,597.2967529296875,42.183746337890625,240.20974731445312,41.67827224731445,278.5643005371094,240.25,182.49000549316406,103.34828186035156,97.27140045166016,34.77000045776367,55.75,63.616905212402344,77.8447036743164,43.479488372802734,51.13509750366211,41.79741287231445,87.79850769042969,47.544952392578125,18.255884170532227,88.56331634521484,106.56083679199219,48.54225540161133,180.0396728515625,73.3379135131836,42.313568115234375,97.23660278320312,39.5798225402832,9.210000038146973,11.6680908203125,30.635711669921875,38.9707145690918,4297.14013671875,19.950000762939453
2022-08-16,169.7141571044922,282.67449951171875,18.80569076538086,144.77999877929688,120.55284881591797,177.90768432617188,306.6499938964844,112.20938110351562,210.5495147705078,300.7306213378906,506.9343566894531,80.22724914550781,148.5766143798828,135.00950622558594,293.1949462890625,350.700927734375,527.4896850585938,123.51051330566406,80.29729461669922,32.92223358154297,131.91477966308594,186.3657684326172,24.569000244140625,100.19999694824219,156.4634552001953,57.8010139465332,594.9451293945312,44.33747863769531,240.97898864746094,41.839290618896484,282.3059387207031,239.0800018310547,181.32000732421875,103.81401824951172,98.30028533935547,34.09000015258789,56.25,64.50724029541016,77.00267028808594,43.149085998535156,52.011138916015625,41.91435241699219,87.39659881591797,47.601409912109375,18.475948333740234,87.83910369873047,105.84237670898438,49.34423065185547,190.83294677734375,72.60460662841797,42.97953414916992,98.55683898925781,39.64641571044922,8.979999542236328,11.555990219116211,31.490503311157227,38.70500183105469,4305.2001953125,19.690000534057617
2022-08-17,171.20504760742188,281.9293518066406,18.263797760009766,142.10000610351562,118.42313385009766,173.32791137695312,304.260009765625,111.26544952392578,208.00906372070312,307.0396728515625,505.8948974609375,80.87635803222656,148.58551025390625,134.38819885253906,291.74407958984375,346.8742370605469,530.63720703125,122.54874420166016,80.6961669921875,32.715572357177734,133.00274658203125,184.76348876953125,24.114999771118164,98.2699966430664,156.3766632080078,57.66769027709961,588.9471435546875,44.38520431518555,241.45858764648438,41.74089050292969,280.8668212890625,232.6699981689453,176.8300018310547,102.5526123046875,96.85607147216797,33.45000076293945,56.76333236694336,63.43882751464844,75.64029693603516,43.48735809326172,52.188316345214844,41.37836456298828,86.71717071533203,47.027442932128906,18.14585304260254,89.34706115722656,105.78321838378906,48.63037872314453,187.45579528808594,72.23335266113281,42.97953414916992,97.34898376464844,39.463287353515625,8.970000267028809,11.658751487731934,30.308353424072266,38.492435455322266,4274.0400390625,19.899999618530273
2022-08-18,170.8126983642578,280.8163757324219,18.70009994506836,142.3000030517578,119.03727722167969,173.13955688476562,304.2699890136719,110.40320587158203,208.7168731689453,306.9427185058594,506.09893798828125,82.78862762451172,147.86732482910156,134.86544799804688,291.2514953613281,348.8558654785156,535.06298828125,122.41876220703125,81.0152587890625,32.5987663269043,135.33462524414062,184.7340087890625,24.517000198364258,100.44000244140625,156.5328826904297,57.96990966796875,587.9295654296875,44.24203872680664,241.2413787841797,44.16518783569336,276.1426696777344,234.25999450683594,174.44000244140625,103.07659912109375,98.05485534667969,34.33000183105469,57.13666534423828,63.86994171142578,78.80028533935547,44.1009635925293,53.00529861450195,41.681114196777344,89.54013061523438,47.018028259277344,18.540130615234375,90.51773071289062,106.22669219970703,48.269046783447266,185.61634826660156,71.95487976074219,43.41523361206055,97.82649993896484,39.463287353515625,9.350000381469727,11.6680908203125,30.599348068237305,39.01499938964844,4283.740234375,19.559999465942383
2022-08-19,168.23309326171875,276.92596435546875,17.77968978881836,138.22999572753906,116.10517120361328,166.49789428710938,297.2799987792969,107.6712646484375,206.36062622070312,312.8059387207031,508.97662353515625,82.52546691894531,150.11941528320312,134.82945251464844,287.7676086425781,345.84918212890625,528.929931640625,122.9040298461914,81.6180191040039,31.879947662353516,134.20274353027344,180.64474487304688,24.115999221801758,95.94999694824219,156.33328247070312,57.925453186035156,581.54638671875,43.589874267578125,241.20523071289062,43.565826416015625,275.1601257324219,229.4600067138672,171.38999938964844,101.5822982788086,97.40355682373047,33.77000045776367,57.15999984741211,63.00770950317383,75.29969787597656,43.841365814208984,52.54267501831055,41.44672775268555,86.71717071533203,46.415855407714844,18.246715545654297,89.99190521240234,103.52644348144531,47.33485412597656,184.93508911132812,70.30266571044922,42.62129592895508,93.88459014892578,38.43113327026367,9.15999984741211,11.901642799377441,29.56268882751465,39.73241424560547,4228.47998046875,20.600000381469727
2022-08-22,164.3588104248047,268.7967224121094,16.96785545349121,133.22000122070312,113.1631851196289,161.63064575195312,288.69000244140625,105.89232635498047,202.27841186523438,313.1257629394531,505.4956970214844,82.46405792236328,149.59274291992188,134.46922302246094,279.60894775390625,337.2879333496094,520.2882080078125,121.59571075439453,80.80252838134766,31.19704818725586,133.53042602539062,173.97023010253906,22.65399932861328,92.83999633789062,154.8408660888672,57.06328201293945,569.2545166015625,42.81047058105469,237.9564666748047,42.68019485473633,267.5081787109375,222.97000122070312,166.75,98.68104553222656,95.61953735351562,32.88999938964844,57.0,61.030235290527344,73.53997802734375,43.5660285949707,51.68631362915039,40.78264617919922,84.69805145263672,45.92656326293945,17.70572853088379,89.02960968017578,101.13170623779297,46.101036071777344,181.10055541992188,68.76183319091797,42.33082580566406,91.94640350341797,36.6331787109375,8.960000038146973,11.817564010620117,28.88068199157715,39.8741340637207,4137.990234375,23.799999237060547
2022-08-23,164.0253143310547,267.5289611816406,17.11428451538086,133.6199951171875,112.78675842285156,159.70753479003906,289.6499938964844,104.84854888916016,200.52334594726562,305.37274169921875,497.3548278808594,85.96401977539062,148.28955078125,131.8758544921875,274.8534240722656,332.7778015136719,517.0451049804688,120.45199584960938,79.95159149169922,30.918502807617188,137.86227416992188,173.00689697265625,22.454999923706055,92.48999786376953,154.7714385986328,57.12550354003906,566.15185546875,42.629127502441406,235.77554321289062,42.41182327270508,263.7071533203125,219.9600067138672,163.6199951171875,97.40023803710938,95.10037231445312,32.720001220703125,54.1533317565918,61.236412048339844,73.82379913330078,41.520668029785156,50.24921417236328,40.56779098510742,84.68848419189453,45.39023208618164,17.760746002197266,88.71212005615234,100.29402160644531,45.40481185913086,181.57742309570312,68.43695831298828,43.03764343261719,92.22732543945312,37.0327262878418,9.399999618530273,11.6680908203125,28.853403091430664,40.210689544677734,4128.72998046875,24.110000610351562
2022-08-24,164.31954956054688,266.8999328613281,17.155126571655273,133.8000030517578,112.61837005615234,161.8387908935547,293.5199890136719,105.10269165039062,200.39732360839844,309.0263671875,497.9676208496094,86.47279357910156,147.7986297607422,131.3085174560547,275.93701171875,331.6258850097656,518.1420288085938,119.490234375,79.783203125,31.017343521118164,138.88356018066406,176.94869995117188,22.961000442504883,92.7300033569336,155.5436553955078,57.205501556396484,566.329833984375,42.937713623046875,236.0650634765625,42.107666015625,263.4490661621094,221.6999969482422,167.58999633789062,96.27466583251953,95.06261444091797,32.75,54.47666549682617,61.49882507324219,73.45484161376953,42.59055709838867,48.546356201171875,40.92912673950195,84.86073303222656,45.6630973815918,17.63237953186035,88.88079071044922,100.81634521484375,45.28142166137695,181.04214477539062,68.42768096923828,41.50782775878906,92.46139526367188,36.68313217163086,9.710000038146973,11.565332412719727,28.835216522216797,40.63582229614258,4140.77001953125,22.81999969482422
2022-08-25,166.7716522216797,269.8612976074219,17.84343910217285,137.27999877929688,115.55046844482422,167.31076049804688,298.1300048828125,107.59864807128906,203.45166015625,313.1645812988281,502.71099853515625,86.92015838623047,149.18218994140625,131.20050048828125,277.43267822265625,336.4678649902344,525.343505859375,120.72057342529297,80.01364135742188,31.574432373046875,140.10055541992188,170.95242309570312,23.398000717163086,97.18000030517578,155.5523681640625,57.48103713989258,578.5029907226562,43.22402572631836,237.6035614013672,42.286582946777344,267.2204284667969,232.75,169.19000244140625,96.72100830078125,95.15702056884766,33.72999954223633,54.793331146240234,62.61408233642578,75.90519714355469,43.377227783203125,50.30827713012695,41.612754821777344,87.080810546875,46.425254821777344,17.898286819458008,89.78358459472656,103.75312805175781,46.030521392822266,186.69664001464844,69.5600814819336,41.372291564941406,93.85650634765625,37.3740119934082,9.859999656677246,11.6680908203125,29.680910110473633,42.08837127685547,4199.1201171875,21.780000686645508
