date,low_agreement_ret,high_agreement_ret,benchmark_ret,spread,cum_low_agreement,cum_high_agreement,cum_benchmark
2022-09-30,0.20410138381509355,0.11139794412632839,0.0708050140603403,0.09270343968876515,0.20410138381509357,0.11139794412632842,0.07080501406034023
2022-12-30,0.11252194588579587,0.13341935991386342,0.07423095862091418,-0.02089741402806755,0.3395892145657473,0.2596799464412467,0.15029189675012078
2023-03-31,0.09778224866116905,0.06422899524511938,0.08426713492501724,0.03355325341604967,0.47057726024823543,0.34058792373159386,0.24722369921671716
2023-06-30,0.05073446475408446,0.041637660086023355,-0.03647555543559857,0.009096804668061106,0.5451862104264575,0.3964068680153576,0.20173052203534558
2023-09-29,0.15757874946295578,0.15128431579763008,0.1123541692334916,0.006294433665325699,0.7886747211528622,0.6076613256181724,0.3367499564811569
2023-12-29,0.10156097716839511,0.1301435369421225,0.09140367126875343,-0.02858255977372738,0.9703342736695537,0.8168880567391825,0.45893381007188094
2024-03-28,-0.017424945074587354,-0.013117869254383316,0.03923032896198639,-0.004307075820204039,0.9360013071722848,0.7930543567610273,0.5161682633747651
2024-06-28,0.1170966696541593,0.06969504702482444,0.05085449308476577,0.04740162262933485,1.1627006126882584,0.9180213644735535,0.5932722318398986
2024-09-30,0.008262694013053717,0.0002588601062501518,0.025069060791036168,0.008003833906803565,1.180570346092745,0.9185178636877511,0.633214070276563
2024-12-31,-0.10610031407456195,-0.10292694778269626,-0.08247881504731445,-0.003173366291865695,0.9492111475106284,0.7210506757117918,0.49850850904155064
2025-03-31,0.06442224684336957,0.1108655742305289,0.10445034307198539,-0.046443327387159325,1.0747837092054056,0.9118559471544194,0.65502823690723
2025-06-30,0.05479094805036568,0.09264147975602889,0.07353157580050831,-0.03785053170566321,1.188463075632224,1.0889731111791692,0.7767250711613558
2025-09-30,0.03879370485442274,0.05087767218622046,0.031065488116994888,-0.012083967331797722,1.2733616662731029,1.195255200335572,0.8319199027466859
2025-12-31,0.05371449480920641,0.009193846707755455,-0.03839165270524432,0.044520648101450955,1.3954741396955779,1.2154380401318603,0.7615894700566102
2026-03-31,0.16223516146240094,0.12279593562483014,0.14623681295014984,0.0394392258375708,1.7841042735280959,1.487484827088692,1.0191986998842322
2026-06-30,0.0,0.0,0.0,0.0,1.7841042735280959,1.487484827088692,1.0191986998842322
